"method_scenario","dataset","mechanism","imputation","avg_pip_true","max_pip_false","num_vars_pip_high","num_true_pip_high"
"independent","MI","MAR","MEAN",0.280336322869955,NA,NA,1
"independent","MI","MAR","MICE",0.379596412556054,NA,NA,2
"independent","MI","MCAR","MEAN",0.249843049327354,NA,NA,1
"independent","MI","MCAR","MICE",0.247040358744395,NA,NA,1
"independent","MI","MNAR","MEAN",0.380784753363229,NA,NA,2
"independent","MI","MNAR","MICE",0.256345291479821,NA,NA,1
"independent","MIMIC","MAR","MEAN",0.606184210526316,NA,NA,3
"independent","MIMIC","MAR","MICE",0.00115131578947368,NA,NA,0
"independent","MIMIC","MCAR","MEAN",0.236513157894737,NA,NA,0
"independent","MIMIC","MCAR","MICE",0.881842105263158,NA,NA,4
"independent","MIMIC","MNAR","MEAN",0.571875,NA,NA,2
"independent","MIMIC","MNAR","MICE",0.00963815789473684,NA,NA,0
"mixed","MI","MAR","MEAN",0.244506726457399,NA,NA,1
"mixed","MI","MAR","MICE",0.250336322869955,NA,NA,1
"mixed","MI","MCAR","MEAN",0,NA,NA,0
"mixed","MI","MCAR","MICE",0,NA,NA,0
"mixed","MI","MNAR","MEAN",0,NA,NA,0
"mixed","MI","MNAR","MICE",0,NA,NA,0
"mixed","MIMIC","MAR","MEAN",0.295032894736842,NA,NA,1
"mixed","MIMIC","MAR","MICE",0.275328947368421,NA,NA,1
"mixed","MIMIC","MCAR","MEAN",0.492302631578947,NA,NA,1
"mixed","MIMIC","MCAR","MICE",0.796118421052632,NA,NA,2
"mixed","MIMIC","MNAR","MEAN",0.459605263157895,NA,NA,0
"mixed","MIMIC","MNAR","MICE",0.480723684210526,NA,NA,0
"top","MI","MAR","MEAN",0,NA,NA,0
"top","MI","MAR","MICE",0,NA,NA,0
"top","MI","MCAR","MEAN",0.2552466367713,NA,NA,1
"top","MI","MCAR","MICE",0.253654708520179,NA,NA,1
"top","MI","MNAR","MEAN",0.678004484304933,NA,NA,3
"top","MI","MNAR","MICE",0.637556053811659,NA,NA,3
"top","MIMIC","MAR","MEAN",0.260921052631579,NA,NA,1
"top","MIMIC","MAR","MICE",0.120822368421053,NA,NA,0
"top","MIMIC","MCAR","MEAN",0.581480263157895,NA,NA,3
"top","MIMIC","MCAR","MICE",0.89266447368421,NA,NA,4
"top","MIMIC","MNAR","MEAN",0.357763157894737,NA,NA,0
"top","MIMIC","MNAR","MICE",0.0396052631578947,NA,NA,0
